date,Brazil
2021-06-13,17412766
2021-06-14,17452612
2021-06-15,17533221
2021-06-16,17628588
2021-06-17,17702630
2021-06-18,17801462
2021-06-19,17883750
2021-06-20,17927928
2021-06-21,17966831
2021-06-22,18054653
2021-06-23,18169881
2021-06-24,18243483
2021-06-25,18322760
2021-06-26,18386894
2021-06-27,18420598
2021-06-28,18448402
2021-06-29,18513305
2021-06-30,18557141
2021-07-01,18622304
2021-07-02,18687469
2021-07-03,18742025
2021-07-04,18769808
2021-07-05,18792511
2021-07-06,18855015
2021-07-07,18909037
2021-07-08,18962762
2021-07-09,19020499
2021-07-10,19069003
2021-07-11,19089940
2021-07-12,19106971
2021-07-13,19151993
2021-07-14,19209729
2021-07-15,19262518
2021-07-16,19308109
2021-07-17,19342448
2021-07-18,19376574
2021-07-19,19391845
2021-07-20,19419437
2021-07-21,19473954
2021-07-22,19523711
2021-07-23,19632443
2021-07-24,19670534
2021-07-25,19688663
2021-07-26,19707662
2021-07-27,19749073
2021-07-28,19797086
2021-07-29,19839369
2021-07-30,19880273
2021-07-31,19917855
2021-08-01,19938358
2021-08-02,19953501
2021-08-03,19985817
2021-08-04,20026533
2021-08-05,20066587
2021-08-06,20108746
2021-08-07,20151779
2021-08-08,20165672
2021-08-09,20177757
2021-08-10,20212642
2021-08-11,20245085
2021-08-12,20285067
2021-08-13,20319000
2021-08-14,20350142
2021-08-15,20364099
2021-08-16,20378570
2021-08-17,20416183
